ville,departement,region,nombre_etoiles,latitude,longitude,nom_dep
Choue,Loir-et-cher,Centre-Val de Loire,3,47.997744,0.928238,Departement du Loir-et-Cher
La Vacherie,Lozere,Occitanie,3,44.519168,3.477406,Departement de la Lozere
Cremps,Lot,Occitanie,3,44.388627,1.598962,Departement du Lot
Vernou-la-Celle-sur-Seine,Seine-et-marne,Ile-de-France,3,48.387498,2.846017,Departement de Seine-et-Marne
Rilhac-Lastours,Haute-vienne,Nouvelle Aquitaine,3,45.64866,1.120178,Departement de la Haute-Vienne
Écommoy,Sarthe,Pays de la Loire,3,47.827688,0.27299,Departement de la Sarthe
Bayenghem-lès-Seninghem,Pas-de-calais,Hauts-de-France,3,50.699934,2.075928,Departement du Pas-de-Calais
Poncey-lès-Athée,Cote-d'or,Bourgogne-Franche-Comté,3,47.239826,5.387701,Departement de la Cote-d'Or
Ressons-le-Long,Aisne,Hauts-de-France,3,49.387512,3.14733,Departement de l'Aisne
Clénay,Cote-d'or,Bourgogne-Franche-Comté,3,47.403521,5.120414,Departement de la Cote-d'Or
Croze,Vaucluse,Provence-Alpes-Côte d'Azur,3,43.68793,5.450329,Departement des Bouches-du-Rhone
Barges,Haute-loire,Auvergne-Rhône-Alpes,3,44.83597,3.89335,Departement de la Lozere
Peyrelevade,Dordogne,Nouvelle Aquitaine,3,44.865604,0.528937,Departement de la Dordogne
La Chapelle-Vendômoise,Loir-et-cher,Centre-Val de Loire,3,47.670613,1.238199,Departement du Loir-et-Cher
Reulle-Vergy,Cote-d'or,Bourgogne-Franche-Comté,3,47.185908,4.893876,Departement de la Cote-d'Or
Campagna-de-Sault,Aude,Occitanie,3,42.75946,2.053088,Departement de l'Aude
Châteauvieux,Creuse,Nouvelle Aquitaine,3,46.190642,1.863661,Departement de la Creuse
Pageas,Haute-vienne,Nouvelle Aquitaine,3,45.67721,0.999707,Departement de la Haute-Vienne
Châtenoy,Loiret,Centre-Val de Loire,3,47.918141,2.396204,Departement du Loiret
Nouaillé-Maupertuis,Vienne,Nouvelle Aquitaine,3,46.508571,0.413388,Departement de la Vienne
